Date,Time,VSpd(m/s),Alt(m),A2(V),RSSI(dB),RxBt(V),Cels(V),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2019-10-11,15:28:07.000,0.0,-0.3,7.6,97,4.1,0.00,1,1,-929,-1,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.1
2019-10-11,15:28:07.500,0.0,-0.3,7.7,98,4.1,0.00,1,1,-929,-1,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.1
2019-10-11,15:28:08.000,0.0,-0.3,8.1,98,4.1,0.00,1,1,-929,-1,-533,204,-920,1,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.1
2019-10-11,15:28:08.500,0.0,-0.3,8.2,96,4.1,0.00,1,1,-951,-1,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.1
2019-10-11,15:28:09.000,-0.1,-0.4,8.2,95,4.1,0.00,0,1,-1024,-1,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.1
2019-10-11,15:28:09.500,0.1,-0.3,8.2,94,4.1,0.00,0,1,-1024,-1,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.1
2019-10-11,15:28:10.000,0.0,-0.4,8.3,94,4.1,0.00,-1,1,-1024,-1,-533,204,-920,1,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.1
2019-10-11,15:28:10.500,0.0,-0.3,8.6,94,4.1,0.00,0,1,-1024,-1,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.1
2019-10-11,15:28:11.000,0.0,-0.4,8.7,95,4.1,0.00,3,1,-44,-1,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.1
2019-10-11,15:28:11.510,0.0,-0.4,8.8,96,4.1,0.00,3,1,1024,-1,-532,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000000083000,8.1
2019-10-11,15:28:12.010,0.0,-0.4,8.6,96,4.1,0.00,1,1,1024,-1,-532,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000000083000,8.1
2019-10-11,15:28:12.520,0.0,-0.4,8.4,96,4.1,0.00,0,1,-56,-1,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.1
2019-10-11,15:28:13.020,0.0,-0.4,8.4,95,4.1,0.00,1,1,-1024,-1,-532,204,-920,1,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.1
2019-10-11,15:28:13.530,0.0,-0.4,8.5,96,4.1,0.00,1,1,-1024,-1,-533,204,-920,1,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.1
2019-10-11,15:28:14.030,0.0,-0.5,8.6,96,4.1,0.00,1,1,-1024,-1,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.1
2019-10-11,15:28:14.530,0.0,-0.4,8.6,98,4.1,0.00,1,1,-1024,-1,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.1
2019-10-11,15:28:15.030,0.0,-0.5,8.4,98,4.1,0.00,1,1,-1024,-1,-532,204,-920,1,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.1
2019-10-11,15:28:15.530,0.0,-0.5,8.0,99,4.1,0.00,0,1,-1024,-1,-532,204,-920,1,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.1
2019-10-11,15:28:16.030,0.0,-0.4,7.6,99,4.1,0.00,0,1,-1024,-1,-532,204,-920,1,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.1
2019-10-11,15:28:16.530,0.0,-0.4,7.8,98,4.1,0.00,0,1,-1024,-1,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.1
2019-10-11,15:28:17.030,0.0,-0.5,8.0,98,4.1,0.00,0,1,-1024,-1,-532,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.1
2019-10-11,15:28:17.530,0.0,-0.5,8.6,98,4.1,0.00,1,1,-1024,-1,-533,204,-920,1,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.1
2019-10-11,15:28:18.030,0.0,-0.5,8.3,99,4.1,0.00,1,1,-1024,-1,-532,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.1
2019-10-11,15:28:18.530,0.0,-0.5,8.5,99,4.1,0.00,1,1,-1024,-1,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.1
2019-10-11,15:28:19.030,0.0,-0.5,8.3,99,4.1,0.00,0,1,-1024,-1,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.1
2019-10-11,15:28:19.530,0.0,-0.5,8.2,98,4.1,0.00,0,1,-1024,-1,-532,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.1
2019-10-11,15:28:20.030,0.0,-0.5,8.1,99,4.1,0.00,0,1,-1024,-1,-533,204,-920,1,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.1
2019-10-11,15:28:20.530,0.0,-0.5,7.9,99,4.1,0.00,1,1,-1024,-1,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.1
2019-10-11,15:28:21.030,0.0,-0.5,7.9,98,4.1,0.00,0,0,-1024,-1,-532,204,-920,1,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.1
2019-10-11,15:28:21.530,0.0,-0.5,7.9,98,4.1,0.00,0,1,-1024,-1,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.1
